date,negative,netural,positive
2019-9-30,20.69904099,-22.82819912,14.79947039
2019-10-1,39.81363023,-33.45322889,9.729693428
2019-10-2,14.34750563,-22.44267392,17.7422723
2019-10-3,51.36760351,-43.61328551,14.66060957
2019-10-4,9.99888587,-22.15656862,20.42046577
2019-10-7,28.79829876,-23.67304939,6.661862098
2019-10-8,77.96906734,-39.4727211,-13.30666319
2019-10-9,36.69076638,-39.02793708,18.83310375
2019-10-10,44.76942503,-34.88104612,8.821934283
2019-10-11,66.94503041,-40.07884964,-3.962347671
2019-10-14,28.23388332,-35.26520833,22.68536926
2019-10-15,28.75501353,-40.67724416,29.56237397
2019-10-16,80.09512954,-46.85233513,-4.080095455
2019-10-17,62.67094219,-35.01395205,-6.729315616
2019-10-18,26.74365877,-37.60285965,28.52396524
2019-10-21,50.392212,-30.88980967,-4.100395992
2019-10-22,26.78646165,-32.72461843,20.88690637
2019-10-23,61.21765515,-37.60474733,-3.749040976
2019-10-24,36.46285182,-28.27627313,4.71878843
2019-10-25,14.06589198,-28.38055015,25.58400403
2019-10-28,21.07755846,-25.86506709,14.47036549
2019-10-29,32.6582966,-26.01560822,5.53528221
2019-10-30,19.05020019,-32.56342071,27.5729536
2019-10-31,50.33296553,-40.38648054,14.1198931
2019-11-1,44.45308501,-35.65412062,10.16760977
2019-11-4,35.5341546,-33.99130836,17.7450414
2019-11-5,58.93692503,-35.71096867,-2.939946108
2019-11-6,24.78495571,-39.15333787,29.04928606
2019-11-7,39.34774284,-30.6245625,6.284113094
2019-11-8,42.87145449,-33.81289443,7.738488719
2019-11-11,40.19071798,-28.11713442,3.456744149
2019-11-12,33.0244339,-32.44449139,13.67964602
2019-11-13,47.73406111,-40.13414094,15.02675772
2019-11-14,44.8941188,-39.28999057,13.2599782
2019-11-15,40.92057132,-30.71232115,8.673546582
2019-11-18,17.8919496,-31.8449727,25.32358117
2019-11-19,37.90072633,-32.60379532,9.282123983
2019-11-20,50.27324308,-36.08177274,6.189390928
2019-11-21,30.50068154,-28.39273003,12.09420046
2019-11-22,46.05252202,-33.43467188,10.08807388
2019-11-25,35.38463058,-30.70851907,11.33635764
2019-11-26,53.25759214,-37.99314067,6.139821619
2019-11-27,52.19570386,-38.69906864,6.115051061
2019-11-28,55.15100619,-30.91561034,-6.049340621
2019-11-29,16.45316833,-33.94424683,33.69084428
2019-12-2,24.8006971,-34.11894539,24.70807201
2019-12-3,34.45015761,-44.59195107,32.84015463
2019-12-4,19.73199078,-35.35054904,32.36275047
2019-12-5,25.22340151,-39.27994391,30.18211333
2019-12-6,26.13918412,-30.41484737,22.70374838
2019-12-9,6.378519058,-32.80616322,37.55315726
2019-12-10,10.65963212,-33.32546949,36.13271077
2019-12-11,25.52060508,-39.62014177,30.92770076
2019-12-12,16.67228525,-35.38706338,31.69405059
2019-12-13,21.37770793,-39.54896486,35.38896795
2019-12-16,2.004468981,-34.68929142,43.48116598
2019-12-17,36.26710764,-37.41628164,18.18556802
2019-12-18,18.12399133,-30.43823683,27.41355218
2019-12-19,27.33046803,-34.98513949,21.27993971
2019-12-20,18.67108198,-28.91756776,25.3686958
2019-12-23,6.172084186,-35.78318903,45.6993384
2019-12-24,21.50225023,-33.97487748,27.18451583
2019-12-25,6.107820662,-13.60793376,13.97789741
2019-12-26,0.890722346,-26.26866613,31.75204304
2019-12-27,-17.52186466,-27.76765609,52.70754619
2019-12-30,24.4530787,-34.38180877,22.79783052
2019-12-31,-8.105075955,-44.64035526,67.25290904
2020-1-1,-7.290147185,-8.369835615,16.8452251
2020-1-2,-22.66972931,-58.91563517,95.37496863
2020-1-3,26.84601264,-35.66709816,21.14014945
2020-1-6,-17.8077958,-37.72962284,62.9058574
2020-1-7,20.94132935,-43.39803362,38.08640478
2020-1-8,33.04834989,-35.06250146,16.80174248
2020-1-9,27.91913364,-33.62452215,20.49338135
2020-1-10,43.36904764,-32.68601632,8.144042611
2020-1-13,19.68185219,-35.8374126,30.523597
2020-1-14,75.64952871,-38.608639,-11.55531709
2020-1-15,32.5603401,-47.05895111,33.6028156
2020-1-16,34.79079532,-39.62068617,23.68732406
2020-1-17,46.86001162,-38.04388106,12.83654834
2020-1-20,26.3668063,-31.17922339,17.34169725
2020-1-21,31.77021919,-36.37379178,21.80788359
2020-1-22,40.19875881,-32.43767568,5.268659413
2020-1-23,39.49000324,-22.05818006,-5.429161742
2020-1-24,20.35855898,-21.23361751,12.19934821
2020-1-27,10.37705269,-18.06233767,15.2359942
2020-1-28,5.501509458,-20.79437408,22.65837884
2020-1-29,28.08358881,-22.04206577,4.60891293
2020-1-30,19.08901475,-21.01739705,14.84154248
2020-1-31,30.12616917,-37.28601199,22.84933759
2020-2-3,20.14732121,-22.48251104,13.82798556
2020-2-4,32.38225291,-25.56245315,5.6012128
2020-2-5,26.53757191,-23.26260659,7.007430851
2020-2-6,21.0011839,-28.62787762,19.31014822
2020-2-7,-3.389119379,-32.75303832,47.13113289
2020-2-10,59.12855421,-29.70014724,-9.80261369
2020-2-11,47.34841095,-29.64811571,-3.699528016
2020-2-12,49.02668754,-35.73674819,2.788772017
2020-2-13,27.7975545,-37.2387566,26.53525269
2020-2-14,45.07198344,-34.87402743,9.315909892
2020-2-17,34.60311376,-32.20222878,13.05572288
2020-2-18,69.13819708,-37.44361776,-11.18736456
2020-2-19,-0.338161781,-39.65583536,50.03648388
2020-2-20,22.89162763,-39.24228042,31.17271718
2020-2-21,52.20076215,-38.33446646,7.387853771
2020-2-24,42.19768491,-31.64706048,6.066833757
2020-2-25,52.0491854,-28.29678333,-6.724625617
2020-2-26,30.31609455,-28.58985889,14.09988543
2020-2-27,54.3065047,-31.67067274,-3.63584049
2020-2-28,51.73815179,-31.30406389,0.516133204
2020-3-2,34.23766419,-27.24519038,5.462923028
2020-3-3,32.59856942,-30.63378471,11.2588473
2020-3-4,35.61830637,-33.7709243,15.62338495
2020-3-5,33.6277214,-28.97176865,10.84548864
2020-3-6,28.43476347,-38.03045464,25.84000118
2020-3-9,17.38226849,-22.43433195,10.52797369
2020-3-10,65.33184643,-37.4982778,-6.211068131
2020-3-11,59.74816036,-36.25717148,-3.295013174
2020-3-12,64.92828842,-32.49711776,-13.32059151
2020-3-13,56.74170117,-33.40878531,-7.221435264
2020-3-16,49.67929754,-22.07686412,-13.41432372
2020-3-17,45.93885148,-31.102072,0.80632209
2020-3-18,54.94625833,-30.6847178,-6.486922622
2020-3-19,74.16940308,-43.42230001,-5.181375302
2020-3-20,36.36918098,-33.31334433,11.29238197
2020-3-23,29.26093354,-29.67331991,14.71032929
2020-3-24,-21.28647181,-47.04892075,77.85637006
2020-3-25,8.300495991,-31.04432866,32.3003575
2020-3-26,25.78410893,-34.24516046,22.62485124
2020-3-27,35.25738768,-35.07293895,18.62773736
2020-3-30,24.38598809,-30.48914468,21.62162393
2020-3-31,18.27679612,-34.7189149,28.83059006
2020-4-1,49.38091547,-39.16720098,9.581196204
2020-4-2,23.99166049,-33.12592405,19.41013068
2020-4-3,20.20881692,-36.83350992,32.86305515
2020-4-6,17.24085581,-22.54815087,16.84436651
2020-4-7,9.971183255,-35.74703524,39.79299313
2020-4-8,19.88254893,-36.91529897,30.20968181
2020-4-9,11.18734353,-37.30987146,38.52245417
2020-4-10,21.80769178,-37.34744462,30.33647864
2020-4-13,23.17324373,-43.21480548,37.82640295
2020-4-14,21.38062518,-35.5677436,27.64578734
2020-4-15,62.46351659,-34.17417902,-7.116070494
2020-4-16,45.44009678,-43.0662466,20.44892491
2020-4-17,25.85383387,-28.41261128,13.71381639
2020-4-20,19.34959111,-22.29507041,13.02723902
2020-4-21,56.95233849,-32.93112531,-7.137847722
2020-4-22,78.23626778,-37.42347738,-15.4337577
2020-4-23,0.554050023,-40.56836367,51.9581966
2020-4-24,2.933692425,-42.78967172,54.68090612
2020-4-27,31.07361248,-39.06992942,25.8295548
2020-4-28,54.11679803,-43.70220587,13.21599941
2020-4-29,45.05807225,-32.31569472,3.903114811
2020-4-30,8.137133827,-37.4967072,45.20003384
2020-5-1,-3.200445903,-31.48959027,44.22499245
2020-5-4,39.34395085,-28.33728942,3.698274791
2020-5-5,8.638325261,-34.23382059,37.54603947
2020-5-6,25.46296583,-32.74524024,25.41948508
2020-5-7,11.53466794,-23.37558502,20.74075643
2020-5-8,44.50048661,-30.91229659,2.296203911
2020-5-11,-14.86398894,-31.45764166,54.93477324
2020-5-12,22.4321818,-35.43314782,27.53539495
2020-5-13,22.65998176,-29.36084631,20.34256049
2020-5-14,31.51321781,-29.24979347,8.619814411
2020-5-15,11.94590902,-41.64995855,46.7066349
2020-5-18,3.092033044,-32.31879815,38.84379122
2020-5-19,0.250099167,-30.33871463,37.48820072
2020-5-20,-24.10351706,-43.06201965,76.97210571
2020-5-21,19.17393965,-29.03167528,22.49806632
2020-5-22,10.80908523,-26.36815214,27.21476994
2020-5-25,18.1046441,-23.94750774,17.55250797
2020-5-26,10.98277118,-22.18979582,20.32494526
2020-5-27,17.19384351,-22.07553014,15.99459931
2020-5-28,-1.563471206,-24.35571873,35.31662627
2020-5-29,25.92186704,-26.48582229,11.54511231
2020-6-1,23.6804992,-21.25914347,10.23738983
2020-6-2,25.31883722,-32.28200191,19.41834892
2020-6-3,21.51377198,-25.1306279,15.78953567
2020-6-4,19.38594683,-24.64251822,16.28567412
2020-6-5,12.07624857,-29.86754099,28.14698759
2020-6-8,50.59587631,-28.07676354,-4.895468161
2020-6-9,51.44843506,-24.58728969,-13.00865895
2020-6-10,11.01747585,-30.22717029,32.96491814
2020-6-11,15.58445295,-23.4852176,17.85503222
2020-6-12,26.58026889,-39.03292072,27.55554663
2020-6-15,38.15116941,-22.90303692,-2.777940094
2020-6-16,29.11717095,-30.36018983,17.07165543
2020-6-17,27.03885786,-31.46676934,16.76591203
2020-6-18,21.72564036,-27.0157682,16.49120694
2020-6-19,17.58732422,-25.66809031,17.75787973
2020-6-22,13.89776101,-26.71746293,24.05271085
2020-6-23,17.47511412,-34.46774909,30.0106516
2020-6-24,19.45272172,-30.29923016,22.40371686
2020-6-25,31.28167607,-23.38930032,4.747204527
2020-6-26,27.60183735,-25.93310991,10.9487018
2020-6-29,14.72435024,-30.67175877,27.66332598
2020-6-30,13.84212653,-25.39039552,21.51872326
2020-7-1,8.704406761,-22.76795328,22.58839521
2020-7-2,20.18871496,-26.91674402,18.94314988
2020-7-3,17.7089797,-31.37909737,26.47052694
2020-7-6,17.91215321,-29.43282771,23.0477654
2020-7-7,1.265984491,-27.44265851,34.99723825
2020-7-8,21.20068038,-18.94575271,6.571670905
2020-7-9,7.337308675,-32.96957573,36.04081734
2020-7-10,37.4552942,-25.53820795,0.774669215
2020-7-13,-5.66972108,-22.81476778,34.45528109
2020-7-14,25.10022517,-30.59657255,16.27161576
2020-7-15,11.4885383,-30.7753689,30.66835998
2020-7-16,50.1675177,-28.66432652,-4.582310557
2020-7-17,46.68162876,-30.8208051,-0.575855091
2020-7-20,27.11956735,-26.30477846,11.35771705
2020-7-21,5.028538689,-23.71563229,25.189136
2020-7-22,-7.966422204,-33.06150207,50.94315192
2020-7-23,7.056933077,-28.60626256,31.96328392
2020-7-24,30.13185222,-31.24531621,14.82676467
2020-7-27,-5.974198794,-27.04402891,39.20742807
2020-7-28,18.67689292,-28.94207713,19.71043705
2020-7-29,-9.538968645,-32.65182945,47.19987722
2020-7-30,25.69617647,-33.34192011,22.26403281
2020-7-31,39.19144968,-34.52386972,15.17543694
2020-8-3,10.22937925,-28.01288894,28.00342558
2020-8-4,27.6471406,-34.00065452,22.22373265
2020-8-5,12.43908857,-38.29122901,37.48975293
2020-8-6,14.71880206,-27.82330173,25.40492052
2020-8-7,26.55910721,-30.20920035,17.54881282
2020-8-10,1.920231231,-24.53774334,31.71701436
2020-8-11,4.232703285,-33.0841285,41.86248569
2020-8-12,47.64302669,-32.32435438,4.084808782
2020-8-13,21.0890705,-30.35873154,19.96097745
2020-8-14,16.82734049,-26.77919915,23.20552519
2020-8-17,7.741706063,-29.06879491,29.99197141
2020-8-18,15.01080472,-26.32580251,20.16074345
2020-8-19,11.87076371,-33.1652649,32.95441808
2020-8-20,48.55998425,-29.74776801,-4.173372231
2020-8-21,31.42113014,-29.94761252,13.90756997
2020-8-24,15.76780621,-30.75068209,28.62765323
2020-8-25,29.05053955,-31.31733942,15.18931258
2020-8-26,12.30824741,-26.74641091,23.06204083
2020-8-27,17.80078557,-31.72347423,26.22746119
2020-8-28,24.1564041,-29.56919932,20.68301336
2020-8-31,-2.1387727,-24.19214669,34.38464461
2020-9-1,15.8026911,-38.44011512,36.38384372
2020-9-2,21.22525106,-31.91888276,24.58436665
2020-9-3,42.71801736,-29.5787335,2.344999835
2020-9-4,48.82126697,-27.92170441,-3.711682037
2020-9-7,32.72253114,-22.96058747,2.253233429
2020-9-8,35.42609632,-22.24075037,-1.410864517
2020-9-9,29.79807378,-19.87023339,-0.196655668
2020-9-10,13.99092069,-31.27388841,29.55346712
2020-9-11,48.27533171,-26.49589393,-6.347551852
2020-9-14,38.96286462,-25.6963574,0.223538771
2020-9-15,21.54084583,-23.2655865,13.71181159
2020-9-16,21.63889365,-32.39398435,24.76027618
2020-9-17,39.86149183,-24.99893388,1.559419438
2020-9-18,-13.77350643,-27.32820013,48.09451714
2020-9-21,22.1370787,-25.65765944,15.12886931
2020-9-22,36.85731445,-29.67641696,8.16732271
2020-9-23,30.40547863,-23.12302333,5.465410948
2020-9-24,50.73460439,-36.27212515,2.489916287
2020-9-25,11.60369497,-24.76584443,24.32012931
2020-9-28,19.49091603,-29.25084817,22.76529282
2020-9-29,12.37318985,-27.99726632,23.33692696
2020-9-30,23.15388221,-22.42553216,7.678880788
2020-10-1,10.44784367,-21.81152469,19.2398828
2020-10-2,23.33672637,-15.98905391,1.416493379
2020-10-5,10.91831179,-16.06528085,11.19863681
2020-10-6,7.504015228,-20.01455164,20.73586249
2020-10-7,12.4475487,-24.79872456,21.73172723
2020-10-8,-4.038737059,-18.4072921,27.22230265
2020-10-9,-1.313042644,-24.01553595,33.22826958
2020-10-12,11.42244443,-15.66553065,10.7624047
2020-10-13,3.977540719,-29.44116357,35.03819021
2020-10-14,27.99064657,-18.53182435,-0.84062916
2020-10-15,37.11597803,-27.49751523,3.093213096
2020-10-16,4.882854566,-24.8099294,26.91743214
2020-10-19,17.12545435,-21.97162628,14.29720473
2020-10-20,16.34070902,-25.36586168,18.61504625
2020-10-21,9.537133204,-25.97544533,22.67761044
2020-10-22,22.71531182,-20.51627725,6.222778976
2020-10-23,-10.2588425,-29.77721679,47.17612661
2020-10-26,10.89310454,-23.52768552,20.67325863
2020-10-27,3.078347396,-32.02175945,39.23606491
2020-10-28,15.59043884,-31.2651799,26.09150963
2020-10-29,20.12059866,-20.82092336,12.34971485
2020-10-30,21.99354091,-18.38152617,6.750755414
2020-11-2,14.12440383,-19.74644521,14.71925388
2020-11-3,-7.900915369,-25.30555579,40.01661402
2020-11-4,5.898817796,-24.15727782,25.59936644
2020-11-5,15.09899869,-28.36335778,23.17527924
2020-11-6,30.20770125,-29.36231887,15.02229758
2020-11-9,1.221225269,-26.57378802,33.77636307
2020-11-10,17.33650486,-26.14843738,18.0645988
2020-11-11,5.137517359,-28.9963055,33.24543879
2020-11-12,44.58534223,-28.30045301,-0.441693038
2020-11-13,31.98618234,-24.29739505,6.818284303
2020-11-16,-6.298464462,-24.04911527,38.76184146
2020-11-17,17.56343295,-25.41001943,18.35935116
